Frequenz - Plot 0	Amplitude - Plot 0
22	0,0011194
22	0,00111142
23	0,00116828
23	0,00125283
23	0,00137007
23	0,00144545
23	0,00157902
23	0,00160422
23	0,00161193
23	0,00154581
23	0,00147539
24	0,00138918
24	0,00137408
24	0,00126068
24	0,00123731
24	0,00119225
24	0,0011256
24	0,00106299
24	0,00103183
24	0,0010299
24	0,00104973
24	0,000941698
25	0,00095242
25	0,000826923
25	0,00078304
25	0,000902004
25	0,00121002
25	0,00147565
25	0,00149832
25	0,00142447
25	0,00148272
26	0,00156143
26	0,00158345
26	0,00158154
26	0,00154286
26	0,00164692
26	0,0016182
26	0,00167226
26	0,00170094
26	0,00167963
26	0,00175788
26	0,00187671
27	0,00185383
27	0,00194289
27	0,00196181
27	0,00197419
27	0,00195129
27	0,00204552
27	0,00203319
27	0,00205369
27	0,00210734
28	0,00213256
28	0,00217557
28	0,00220814
28	0,00226961
28	0,0023002
28	0,00231065
28	0,0023666
28	0,00236723
28	0,00241857
28	0,00238951
28	0,00242454
29	0,00242865
29	0,00241691
29	0,00241321
29	0,00239201
29	0,00240472
29	0,00238997
29	0,00237142
29	0,0023775
29	0,0023341
30	0,00237927
30	0,00232734
30	0,00227303
30	0,00223071
30	0,00219784
30	0,00210761
30	0,00202948
30	0,00197688
30	0,0018872
30	0,0017698
30	0,00167607
31	0,00150819
31	0,00140021
31	0,00124229
31	0,00108175
31	0,000908245
31	0,000723449
31	0,000554011
31	0,000341652
31	0,000121566
32	-6,72E-05
32	-0,000242043
32	-0,000493456
32	-0,000748613
32	-0,000963706
32	-0,00122041
32	-0,00147289
32	-0,00174823
32	-0,00199208
32	-0,00229053
32	-0,00256206
33	-0,00284503
33	-0,00313752
33	-0,00341428
33	-0,0036445
33	-0,00391981
33	-0,00422509
33	-0,00446841
33	-0,00475592
33	-0,00505031
34	-0,00528724
34	-0,00552173
34	-0,00578675
34	-0,00602882
34	-0,00616985
34	-0,00639234
34	-0,006429
34	-0,00652725
34	-0,00647062
34	-0,00640255
34	-0,00632569
35	-0,00619224
35	-0,00586806
35	-0,00553163
35	-0,00512279
35	-0,00462479
35	-0,00410016
35	-0,00346737
35	-0,00285603
35	-0,00232113
36	-0,00178424
36	-0,00142113
36	-0,00126754
36	-0,00142862
36	-0,00208249
36	-0,0031299
36	-0,00412661
36	-0,00409087
36	-0,00359506
36	-0,00357432
36	-0,00356804
37	-0,00368015
37	-0,00372579
37	-0,0037276
37	-0,00380567
37	-0,00382782
37	-0,00384831
37	-0,00392637
37	-0,00384641
37	-0,00383772
38	-0,00379759
38	-0,00376027
38	-0,00369918
38	-0,00355587
38	-0,00345472
38	-0,00332477
38	-0,0032002
38	-0,00296565
38	-0,00281862
38	-0,00269518
38	-0,00268102
39	-0,00256642
39	-0,00246348
39	-0,00233042
39	-0,00221296
39	-0,00211624
39	-0,00205533
39	-0,00206777
39	-0,00211858
39	-0,00218587
40	-0,00217015
40	-0,0020438
40	-0,00190453
40	-0,00178902
40	-0,00175309
40	-0,00172613
40	-0,00180605
40	-0,00192107
40	-0,0021525
40	-0,00240144
40	-0,00217375
41	-0,00182594
41	-0,00177804
41	-0,00174276
41	-0,0017123
41	-0,00167181
41	-0,00167867
41	-0,00164384
41	-0,00160479
41	-0,00160288
42	-0,00157472
42	-0,00156218
42	-0,00155164
42	-0,00153953
42	-0,00159401
42	-0,00153243
42	-0,00152873
42	-0,00156036
42	-0,00155307
42	-0,00155904
42	-0,00161148
43	-0,00162293
43	-0,00161044
43	-0,00159635
43	-0,00162141
43	-0,00158723
43	-0,00156363
43	-0,00157504
43	-0,00155029
43	-0,00152923
44	-0,00150856
44	-0,00148029
44	-0,00147535
44	-0,00146185
44	-0,00142481
44	-0,0014677
44	-0,00144519
44	-0,00145143
44	-0,00145154
44	-0,00148046
44	-0,00147541
45	-0,00151998
45	-0,00152215
45	-0,00153262
45	-0,00157168
45	-0,0015508
45	-0,00155462
45	-0,00157657
45	-0,00154257
45	-0,00155568
46	-0,00156255
46	-0,00155631
46	-0,00154207
46	-0,00156476
46	-0,00156455
46	-0,00158301
46	-0,00157251
46	-0,00155323
46	-0,0015689
46	-0,00159283
46	-0,00154976
47	-0,00154232
47	-0,00156385
47	-0,00154597
47	-0,00154981
47	-0,00151905
47	-0,00150508
47	-0,00148219
47	-0,00146584
47	-0,00145326
48	-0,00139849
48	-0,001402
48	-0,00141178
48	-0,00142292
48	-0,001397
48	-0,00141597
48	-0,00140072
48	-0,00139873
48	-0,00140459
48	-0,00142869
48	-0,00137839
49	-0,0014001
49	-0,00141652
49	-0,00143608
49	-0,0014675
49	-0,00144141
49	-0,00145755
49	-0,00147542
49	-0,00149558
49	-0,00149177
50	-0,00150127
50	-0,00151886
50	-0,00152894
50	-0,00145758
50	-0,00151872
50	-0,00147153
